"","FacID","FacLatitude","FacLongitude","zip","Exposure","Exposure_popwt","Exposure_popwt_tot_fac","Fac_rank_exp","Fac_rank_popwt","year"
"1","983",38.7383,-85.4192,"40023",51849.8055987039,164623132.775885,34769801502.0212,1,1,2005
"2","1008",38.2636,-85.8381,"40025",67342.4615902272,12997095.0869139,53205900215.6019,1,1,2005
"3","983",38.7383,-85.4192,"40059",83484.0968758242,1214610125.44637,34769801502.0212,1,1,2005
"4","1008",38.2636,-85.8381,"40118",70965.7181583328,651323361.257179,53205900215.6019,1,1,2005
"5","1008",38.2636,-85.8381,"40177",61199.5328993874,110465156.883394,53205900215.6019,1,1,2005
"6","1008",38.2636,-85.8381,"40202",91856.7249929045,441463420.315899,53205900215.6019,1,1,2005
"7","1008",38.2636,-85.8381,"40203",91856.7249929045,1864324090.45599,53205900215.6019,1,1,2005
"8","1008",38.2636,-85.8381,"40204",76985.0629295131,1159395047.71847,53205900215.6019,1,1,2005
"9","1008",38.2636,-85.8381,"40205",66280.7939799899,1522138433.75047,53205900215.6019,1,1,2005
"10","1008",38.2636,-85.8381,"40206",79334.1763890065,1530118260.01477,53205900215.6019,1,1,2005
"11","1008",38.2636,-85.8381,"40207",66811.6277851086,1961054898.74851,53205900215.6019,1,1,2005
"12","1008",38.2636,-85.8381,"40208",87689.3318790362,1119529700.09965,53205900215.6019,1,1,2005
"13","1008",38.2636,-85.8381,"40209",77490.6899383972,36653096.3408619,53205900215.6019,1,1,2005
"14","1008",38.2636,-85.8381,"40210",87689.3318790362,1430037624.28332,53205900215.6019,1,1,2005
"15","1008",38.2636,-85.8381,"40211",87689.3318790362,2122344899.46831,53205900215.6019,1,1,2005
"16","1008",38.2636,-85.8381,"40212",91856.7249929045,1787715581.81191,53205900215.6019,1,1,2005
"17","1008",38.2636,-85.8381,"40213",77490.6899383972,1346865681.81928,53205900215.6019,1,1,2005
"18","1008",38.2636,-85.8381,"40214",81227.3219245329,3629561652.87583,53205900215.6019,1,1,2005
"19","1008",38.2636,-85.8381,"40215",87968.0784760008,2139999445.08567,53205900215.6019,1,1,2005
"20","1008",38.2636,-85.8381,"40216",95461.4313729011,3802133350.15128,53205900215.6019,1,1,2005
"21","1008",38.2636,-85.8381,"40217",76985.0629295131,955461616.018187,53205900215.6019,1,1,2005
"22","1008",38.2636,-85.8381,"40218",67013.3014007936,2013213600.68264,53205900215.6019,1,1,2005
"23","1008",38.2636,-85.8381,"40219",77996.3169472813,2718639623.51444,53205900215.6019,1,1,2005
"24","1008",38.2636,-85.8381,"40220",60716.998638007,1977309777.64533,53205900215.6019,1,1,2005
"25","1008",38.2636,-85.8381,"40222",62925.4862887471,1265242752.80784,53205900215.6019,1,1,2005
"26","983",38.7383,-85.4192,"40223",59320.9619873633,1345696022.68334,34769801502.0212,1,1,2005
"27","1008",38.2636,-85.8381,"40228",61695.5072438758,890081083.007396,53205900215.6019,1,1,2005
"28","1008",38.2636,-85.8381,"40229",58442.1503885726,1941974215.26188,53205900215.6019,1,1,2005
"29","983",38.7383,-85.4192,"40241",65281.9247457536,1683947248.81671,34769801502.0212,1,1,2005
"30","983",38.7383,-85.4192,"40242",65281.9247457536,716534406.009392,34769801502.0212,1,1,2005
"31","983",38.7383,-85.4192,"40243",70170.8286986417,699462820.468061,34769801502.0212,1,1,2005
"32","983",38.7383,-85.4192,"40245",64447.2728761556,1668862131.12805,34769801502.0212,1,1,2005
"33","1008",38.2636,-85.8381,"40258",89825.4389847685,2238809241.25637,53205900215.6019,1,1,2005
"34","1008",38.2636,-85.8381,"40272",76679.3462140496,2647967862.80978,53205900215.6019,1,1,2005
"35","1008",38.2636,-85.8381,"40291",59622.7429612348,1903515691.78038,53205900215.6019,1,1,2005
"36","1008",38.2636,-85.8381,"40299",54569.3345004701,1834566456.5713,53205900215.6019,1,1,2005
"37","1008",38.2636,-85.8381,"40023",46897.9811263271,148901090.076088,53205900215.6019,2,2,2005
"38","983",38.7383,-85.4192,"40025",51685.8688595533,9975372.6898938,34769801502.0212,2,2,2005
"39","1008",38.2636,-85.8381,"40059",62046.1138852568,902708910.916602,53205900215.6019,2,2,2005
"40","1381",37.9628,-86.7917,"40118",42542.8504365172,390458281.306355,32244408557.615,2,2,2005
"41","1381",37.9628,-86.7917,"40177",49672.4630415917,89658795.790073,32244408557.615,2,2,2005
"42","983",38.7383,-85.4192,"40202",50633.4956687589,243344580.184055,34769801502.0212,2,2,2005
"43","983",38.7383,-85.4192,"40203",50633.4956687589,1027657428.09313,34769801502.0212,2,2,2005
"44","1381",37.9628,-86.7917,"40204",46404.12627853,698846141.754661,32244408557.615,2,2,2005
"45","983",38.7383,-85.4192,"40205",45256.3216926166,1039311427.67094,34769801502.0212,2,2,2005
"46","983",38.7383,-85.4192,"40206",49552.2954724219,955715122.776602,34769801502.0212,2,2,2005
"47","983",38.7383,-85.4192,"40207",48471.095276085,1422723588.54365,34769801502.0212,2,2,2005
"48","1381",37.9628,-86.7917,"40208",51270.044818231,654564662.194355,32244408557.615,2,2,2005
"49","1381",37.9628,-86.7917,"40209",44854.8137275313,21216326.8931223,32244408557.615,2,2,2005
"50","1381",37.9628,-86.7917,"40210",51270.044818231,836111890.895711,32244408557.615,2,2,2005
"51","1381",37.9628,-86.7917,"40211",51270.044818231,1240888894.73564,32244408557.615,2,2,2005
"52","983",38.7383,-85.4192,"40212",50633.4956687589,985429092.705385,34769801502.0212,2,2,2005
"53","1381",37.9628,-86.7917,"40213",44854.8137275313,779621517.398221,32244408557.615,2,2,2005
"54","1381",37.9628,-86.7917,"40214",45960.3490570987,2053692237.2674,32244408557.615,2,2,2005
"55","1381",37.9628,-86.7917,"40215",48770.5507796137,1186441188.81566,32244408557.615,2,2,2005
"56","1381",37.9628,-86.7917,"40216",52178.2664283075,2078208173.57306,32244408557.615,2,2,2005
"57","1381",37.9628,-86.7917,"40217",46404.12627853,575921611.242835,32244408557.615,2,2,2005
"58","983",38.7383,-85.4192,"40218",42636.5914269756,1280888479.6492,34769801502.0212,2,2,2005
"59","1381",37.9628,-86.7917,"40219",43305.5011765326,1509456549.00922,32244408557.615,2,2,2005
"60","983",38.7383,-85.4192,"40220",53359.999228973,1737721734.89073,34769801502.0212,2,2,2005
"61","983",38.7383,-85.4192,"40222",52801.9557724998,1061688924.71765,34769801502.0212,2,2,2005
"62","1008",38.2636,-85.8381,"40223",59118.0897944753,1341093866.98767,53205900215.6019,2,2,2005
"63","983",38.7383,-85.4192,"40228",46485.4687493238,670645857.646495,34769801502.0212,2,2,2005
"64","983",38.7383,-85.4192,"40229",44887.5395425392,1491568051.45904,34769801502.0212,2,2,2005
"65","1008",38.2636,-85.8381,"40241",57519.1809509437,1483707272.62959,53205900215.6019,2,2,2005
"66","1008",38.2636,-85.8381,"40242",57519.1809509437,631330530.117558,53205900215.6019,2,2,2005
"67","1008",38.2636,-85.8381,"40243",51424.551803842,512599932.380697,53205900215.6019,2,2,2005
"68","1008",38.2636,-85.8381,"40245",43663.0969287686,1130655894.97046,53205900215.6019,2,2,2005
"69","1381",37.9628,-86.7917,"40258",50069.3043047585,1247927340.4918,32244408557.615,2,2,2005
"70","1381",37.9628,-86.7917,"40272",49924.9005338728,1724056590.13623,32244408557.615,2,2,2005
"71","983",38.7383,-85.4192,"40291",49588.5202144868,1583163096.3677,34769801502.0212,2,2,2005
"72","983",38.7383,-85.4192,"40299",50076.1204852396,1683509094.59327,34769801502.0212,2,2,2005
"73","1381",37.9628,-86.7917,"40023",38817.0302566942,123244071.065004,32244408557.615,3,3,2005
"74","1381",37.9628,-86.7917,"40025",37372.6281993238,7212917.2424695,32244408557.615,3,3,2005
"75","2850",38.6361,-83.6939,"40059",33933.1509459452,493693413.112556,19543764678.6266,3,3,2005
"76","983",38.7383,-85.4192,"40118",35598.1588492478,326719901.918397,34769801502.0212,3,3,2005
"77","1364",38.0531,-85.91,"40177",38422.6055931424,69352803.0956219,22423021971.2932,3,3,2005
"78","1381",37.9628,-86.7917,"40202",47288.9509225906,227270698.13397,32244408557.615,3,3,2005
"79","1381",37.9628,-86.7917,"40203",47288.9509225906,959776547.924899,32244408557.615,3,3,2005
"80","983",38.7383,-85.4192,"40204",44417.916042983,668933815.607324,34769801502.0212,3,3,2005
"81","1381",37.9628,-86.7917,"40205",41538.2077388289,953924940.722207,32244408557.615,3,3,2005
"82","1381",37.9628,-86.7917,"40206",43372.1844458335,836519321.40679,32244408557.615,3,3,2005
"83","1381",37.9628,-86.7917,"40207",39455.4179690764,1158095428.22833,32244408557.615,3,3,2005
"84","983",38.7383,-85.4192,"40208",43579.5103933494,556379609.191892,34769801502.0212,3,3,2005
"85","983",38.7383,-85.4192,"40209",40325.5693685983,19073994.311347,34769801502.0212,3,3,2005
"86","983",38.7383,-85.4192,"40210",43579.5103933494,710694655.494743,34769801502.0212,3,3,2005
"87","983",38.7383,-85.4192,"40211",43579.5103933494,1054754890.05024,34769801502.0212,3,3,2005
"88","1381",37.9628,-86.7917,"40212",47288.9509225906,920337562.855458,32244408557.615,3,3,2005
"89","983",38.7383,-85.4192,"40213",40325.5693685983,700898721.195607,34769801502.0212,3,3,2005
"90","983",38.7383,-85.4192,"40214",38681.9852605922,1728465829.3843,34769801502.0212,3,3,2005
"91","1364",38.0531,-85.91,"40215",38783.7937652278,943493350.926697,22423021971.2932,3,3,2005
"92","1364",38.0531,-85.91,"40216",41289.8311256126,1644532683.90202,22423021971.2932,3,3,2005
"93","983",38.7383,-85.4192,"40217",44417.916042983,551270756.009462,34769801502.0212,3,3,2005
"94","1381",37.9628,-86.7917,"40218",40939.076675449,1229891741.48384,32244408557.615,3,3,2005
"95","983",38.7383,-85.4192,"40219",36233.2226942135,1262945210.22951,34769801502.0212,3,3,2005
"96","1381",37.9628,-86.7917,"40220",41769.6675257255,1360270992.64278,32244408557.615,3,3,2005
"97","1381",37.9628,-86.7917,"40222",40303.9877502583,810392281.694443,32244408557.615,3,3,2005
"98","1381",37.9628,-86.7917,"40223",38638.4056612986,876512232.426558,32244408557.615,3,3,2005
"99","1381",37.9628,-86.7917,"40228",41880.7356582505,604213373.341579,32244408557.615,3,3,2005
"100","1381",37.9628,-86.7917,"40229",40075.9631585466,1331684179.79535,32244408557.615,3,3,2005
"101","1381",37.9628,-86.7917,"40241",35507.1437968716,915906774.240303,32244408557.615,3,3,2005
"102","1381",37.9628,-86.7917,"40242",35507.1437968716,389726410.314463,32244408557.615,3,3,2005
"103","1381",37.9628,-86.7917,"40243",37821.3933535207,377003648.947895,32244408557.615,3,3,2005
"104","1381",37.9628,-86.7917,"40245",35590.4402684742,921614450.752138,32244408557.615,3,3,2005
"105","1364",38.0531,-85.91,"40258",40471.5978376992,1008714104.50681,22423021971.2932,3,3,2005
"106","1364",38.0531,-85.91,"40272",40396.1136380184,1394998992.26169,22423021971.2932,3,3,2005
"107","1381",37.9628,-86.7917,"40291",41045.1893480436,1310408715.12564,32244408557.615,3,3,2005
"108","1381",37.9628,-86.7917,"40299",40385.5919661398,1357723216.30966,32244408557.615,3,3,2005
"109","2850",38.6361,-83.6939,"40023",31953.0317116374,101450875.684449,19543764678.6266,4,4,2005
"110","1378",37.2608,-86.9783,"40025",32604.7043690564,6292707.94322789,20266293286.2437,4,4,2005
"111","1381",37.9628,-86.7917,"40059",33377.4727786685,485608851.456848,32244408557.615,4,4,2005
"112","1364",38.0531,-85.91,"40118",33205.977496367,304764461.461656,22423021971.2932,4,4,2005
"113","983",38.7383,-85.4192,"40177",31296.7375936996,56490611.3566277,34769801502.0212,4,4,2005
"114","1364",38.0531,-85.91,"40202",36419.9245474074,175034157.37484,22423021971.2932,4,4,2005
"115","1364",38.0531,-85.91,"40203",36419.9245474074,739178788.614181,22423021971.2932,4,4,2005
"116","1364",38.0531,-85.91,"40204",32729.3114243675,492903430.050975,22423021971.2932,4,4,2005
"117","1364",38.0531,-85.91,"40205",27590.0745014882,633606060.926676,22423021971.2932,4,4,2005
"118","1364",38.0531,-85.91,"40206",31098.6701274471,599800050.748072,22423021971.2932,4,4,2005
"119","1378",37.2608,-86.9783,"40207",28227.3206574898,828528315.938641,20266293286.2437,4,4,2005
