zcta5a,year,totpop,pov_p,edu_lths_p,unempl_p,uninsur_p,black_p
40023,2012,3732,5.466238,7.5086637,7.9818592,2.3311896,2.063237
40023,2013,4384,4.5392337,5.2488995,6.8382635,2.8512774,1.6195256
40023,2014,4598,1.9855989,3.6434612,5,2.0878644,1.8051326
40023,2015,4727,1.5064715,2.7760451,4.1636496,2.0308864,1.3750793
40023,2016,4671,5.5233183,3.0368099,3.5573123,1.4771998,1.9267823
40025,2012,85,0,0,0,0,0
40025,2013,74,0,0,0,0,0
40025,2014,58,0,0,0,0,0
40025,2015,29,0,0,0,0,0
40025,2016,45,0,0,17.647058,0,0
40059,2012,17195,4.4192734,3.1902156,4.1914077,4.0425906,5.1933703
40059,2013,17330,3.5204289,2.8870292,4.2591147,4.4950953,4.0450087
40059,2014,17785,3.5363011,2.3666694,4.477612,3.6672883,3.4073658
40059,2015,17986,3.7147353,2.0088191,5.4768248,3.5259275,4.130991
40059,2016,18614,2.8281403,1.9320611,4.9139018,2.0350878,4.131299
40118,2012,9710,16.144329,25.54497,14.644171,14.508307,1.7610711
40118,2013,9452,16.636642,26.757071,16.220619,15.837918,.46550995
40118,2014,9767,18.726284,25.243753,12.85808,17.555374,1.2388656
40118,2015,9285,20.366182,21.500324,7.5673165,15.271944,2.9940765
40118,2016,9433,20.38588,22.273926,6.3347459,15.064137,2.8940952
40202,2012,6429,45.583977,17.08902,14.361191,28.397421,51.765438
40202,2013,6442,47.001888,18.338228,22.27907,17.401428,54.17572
40202,2014,6468,49.305557,19.505552,23.557463,19.803564,55.983303
40202,2015,6362,47.752293,17.314049,25.83992,17.964342,53.237976
40202,2016,6411,47.68018,17.889267,26.947266,13.750835,51.926376
40203,2012,19270,52.285789,28.386084,25.573122,24.152315,62.885315
40203,2013,18884,52.938271,27.501453,25.774857,24.311586,61.740097
40203,2014,18347,54.684132,27.527561,22.872929,22.94879,59.67733
40203,2015,18964,50.960274,25.205526,18.767035,17.428696,57.914997
40203,2016,19004,50.572762,23.52564,15.770517,14.719766,58.592926
40204,2012,14480,14.788983,7.575624,7.7397037,14.702119,7.0856352
40204,2013,14426,14.713663,7.4295931,7.6677318,14.446139,6.0446415
40204,2014,14229,14.381223,7.2619047,6.1866012,13.599071,6.2759151
40204,2015,14353,14.408184,7.1920643,5.1322455,11.690843,7.9634919
40204,2016,14661,14.850646,7.5943613,3.9522662,9.0510845,7.7007027
40205,2012,23483,7.8659801,3.7997658,4.0139227,6.5575204,.91981435
40205,2013,23865,7.6943593,3.5334673,4.9372025,6.9055099,1.4959146
40205,2014,24068,7.9020762,3.559612,4.3678823,5.9807596,1.7990693
40205,2015,24134,8.3880415,3.1166618,4.1237111,5.1028633,2.1214883
40205,2016,24342,7.989418,3.0563245,3.9534037,3.7559869,2.2142799
40206,2012,18474,14.778766,6.9755673,6.7910175,10.545194,8.000433
40206,2013,18778,16.595886,7.4315701,6.7881551,11.508148,9.0584726
40206,2014,19277,16.262215,7.2259192,5.6690545,10.728842,8.7565489
